Image,Scores,Classes,ymin,xmin,ymax,xmax
cimb_statement1_page_0.jpg,0.999813973903656,transactions,0.29828354716300964,0.05923067778348923,0.7854301929473877,0.9692903757095337
cimb_statement1_page_0.jpg,0.9951313734054565,account_number,0.27260440587997437,0.2452986240386963,0.2861332595348358,0.34750184416770935
cimb_statement1_page_0.jpg,0.9767060875892639,account_holder,0.110443115234375,0.0866117924451828,0.1250012218952179,0.301943302154541
cimb_statement1_page_0.jpg,0.9563343524932861,address,0.12502220273017883,0.08307739347219467,0.17331795394420624,0.3527959883213043
cimb_statement1_page_0.jpg,0.8002151846885681,date,0.11948972195386887,0.8217513561248779,0.13258878886699677,0.9267110228538513
cimb_statement1_page_0.jpg,0.7137705683708191,account_holder,0.10495034605264664,0.10777460783720016,0.13329552114009857,0.27881094813346863
cimb_statement1_page_1.jpg,0.999264657497406,transactions,0.15752223134040833,0.046023160219192505,0.9530021548271179,0.9503999948501587
cimb_statement1_page_1.jpg,0.13406068086624146,transactions,0.194143608212471,0.06771306693553925,0.6862239241600037,0.9387643933296204
cimb_statement1_page_2.jpg,0.9994000196456909,transactions,0.14555533230304718,0.08058445155620575,0.9073077440261841,0.9718814492225647
cimb_statement1_page_3.jpg,0.9998037219047546,transactions,0.16064071655273438,0.05056881904602051,0.7515894770622253,0.9371771812438965
cimb_statement1_page_3.jpg,0.10883912444114685,date,0.11928319185972214,0.8167906999588013,0.1327429860830307,0.9229934811592102
cimb_statement2_page_0.jpg,0.999813973903656,transactions,0.29828354716300964,0.05923067778348923,0.7854301929473877,0.9692903757095337
cimb_statement2_page_0.jpg,0.9951313734054565,account_number,0.27260440587997437,0.2452986240386963,0.2861332595348358,0.34750184416770935
cimb_statement2_page_0.jpg,0.9767060875892639,account_holder,0.110443115234375,0.0866117924451828,0.1250012218952179,0.301943302154541
cimb_statement2_page_0.jpg,0.9563343524932861,address,0.12502220273017883,0.08307739347219467,0.17331795394420624,0.3527959883213043
cimb_statement2_page_0.jpg,0.8002151846885681,date,0.11948972195386887,0.8217513561248779,0.13258878886699677,0.9267110228538513
cimb_statement2_page_0.jpg,0.7137705683708191,account_holder,0.10495034605264664,0.10777460783720016,0.13329552114009857,0.27881094813346863
cimb_statement2_page_1.jpg,0.999264657497406,transactions,0.15752223134040833,0.046023160219192505,0.9530021548271179,0.9503999948501587
cimb_statement2_page_1.jpg,0.13406068086624146,transactions,0.194143608212471,0.06771306693553925,0.6862239241600037,0.9387643933296204
cimb_statement2_page_2.jpg,0.9994000196456909,transactions,0.14555533230304718,0.08058445155620575,0.9073077440261841,0.9718814492225647
cimb_statement2_page_3.jpg,0.9998037219047546,transactions,0.16064071655273438,0.05056881904602051,0.7515894770622253,0.9371771812438965
cimb_statement2_page_3.jpg,0.10883912444114685,date,0.11928319185972214,0.8167906999588013,0.1327429860830307,0.9229934811592102
cimb_statement3_page_0.jpg,0.9996092915534973,transactions,0.29871666431427,0.05796321481466293,0.813355565071106,0.9869009852409363
cimb_statement3_page_0.jpg,0.9965408444404602,account_number,0.27247312664985657,0.24520444869995117,0.28661367297172546,0.34625810384750366
cimb_statement3_page_0.jpg,0.9767060875892639,account_holder,0.110443115234375,0.0866117775440216,0.1250012218952179,0.30194327235221863
cimb_statement3_page_0.jpg,0.9563336968421936,address,0.1250225156545639,0.08307644724845886,0.173318013548851,0.35279300808906555
cimb_statement3_page_0.jpg,0.814656674861908,date,0.11949646472930908,0.8232726454734802,0.13242876529693604,0.9265089631080627
cimb_statement3_page_0.jpg,0.7137708067893982,account_holder,0.10495034605264664,0.10777460783720016,0.13329552114009857,0.27881094813346863
cimb_statement3_page_1.jpg,0.8989934921264648,transactions,0.1644214391708374,0.03162110596895218,0.27527105808258057,0.9392544627189636
cimb_statement3_page_1.jpg,0.11295419186353683,date,0.11922682821750641,0.8175040483474731,0.1326320618391037,0.9229364991188049
cimb_statement4_page_0.jpg,0.9996854066848755,transactions,0.2905803620815277,0.05135089159011841,0.8413478136062622,0.9661220908164978
cimb_statement4_page_0.jpg,0.9945658445358276,account_number,0.2725342810153961,0.24252523481845856,0.28599783778190613,0.3429589867591858
cimb_statement4_page_0.jpg,0.9767060875892639,account_holder,0.110443115234375,0.0866117775440216,0.1250012218952179,0.30194327235221863
cimb_statement4_page_0.jpg,0.956332266330719,address,0.125022292137146,0.08307791501283646,0.17331789433956146,0.3527953326702118
cimb_statement4_page_0.jpg,0.7137705683708191,account_holder,0.10495034605264664,0.10777461528778076,0.13329552114009857,0.27881091833114624
cimb_statement4_page_0.jpg,0.6194732785224915,date,0.11938291788101196,0.8195410370826721,0.13237394392490387,0.926765501499176
cimb_statement4_page_1.jpg,0.9994445443153381,transactions,0.1493237465620041,0.05269821733236313,0.8768059611320496,0.9868585467338562
